"Date","Tsurf","Tbot","Ssurf","Sbot"
2019-03-30,20.38826434,20.38660725,7.625572662,7.643525859
2019-03-31,20.38503162,20.56468391,6.741329094,7.077677011
2019-04-01,17.79929924,19.24152684,5.857145011,7.915355305
2019-04-02,17.87578424,19.36343932,5.165975114,8.410628259
2019-04-03,18.91640608,20.03170856,8.19448032,11.61048985
2019-04-04,19.59971809,19.58664306,12.39840404,12.4416612
2019-04-05,20.14875722,19.94047411,8.847883046,10.64243666
2019-04-06,21.15870094,20.93393826,8.301874618,9.331332366
2019-04-07,22.26611908,22.24704107,8.395803372,8.820036789
2019-04-08,22.5700566,22.54488564,9.620109836,9.698260744
2019-04-09,22.5233717,22.53395327,9.72974356,9.730060975
2019-04-10,23.37652898,23.0586346,6.269959946,8.57325081
2019-04-11,23.91039944,23.8493398,5.379045268,7.479506195
2019-04-12,23.93510787,23.89901376,6.816294531,7.284487387
2019-04-13,24.03349988,24.16549619,6.777645648,7.125762125
2019-04-14,23.45040345,23.4701829,7.178753257,7.179342012
2019-04-15,20.93737125,20.97714535,3.133115361,3.156292006
2019-04-16,20.67610828,20.68927431,2.399835154,2.407452459
2019-04-17,21.40605267,21.21891538,1.874105588,2.463646144
2019-04-18,22.01216729,22.01306287,2.423893124,2.425101846
2019-04-19,22.43076976,22.4538029,2.094787771,2.099386041
2019-04-20,19.37875477,19.40627631,0.060108343,0.061083435
2019-04-21,19.13993271,19.00341479,0.030229413,0.030213442
2019-04-22,19.77057608,19.36527809,0.077019761,0.087848094
2019-04-23,21.00836857,20.5857091,0.015028066,0.017200147
2019-04-24,21.28514139,21.25625451,0.00595309,0.006031242
2019-04-25,21.90204247,21.90271656,0.002863926,0.00284957
2019-04-26,22.67237504,22.67994992,0.009714174,0.009799813
2019-04-27,22.91802001,22.94402631,0.000114001,0.000112949
2019-04-28,23.60296591,22.93097178,0.000248182,0.000317158
2019-04-29,24.10629304,23.89946914,0.006761504,0.045378017
2019-04-30,24.26171915,23.93992337,0.563509749,1.13121554
2019-05-01,24.63560677,24.31815743,1.370461459,2.73082001
2019-05-02,25.32855582,24.39203827,1.626971111,3.640425106
2019-05-03,26.02172399,25.51943668,1.97116138,3.240560542
2019-05-04,25.97422767,26.00009235,2.306690117,2.339548479
2019-05-05,25.83601435,25.73284181,2.01048167,2.059358031
2019-05-06,26.40172474,25.8297406,2.140091995,5.206639434
2019-05-07,26.08353241,26.52295319,2.479751095,7.780646702
2019-05-08,26.60521817,26.79940971,4.129968305,6.514490386
2019-05-09,26.59872961,26.61610786,4.853015741,4.855428239
2019-05-10,26.69453239,26.60132694,4.956792295,5.015250405
2019-05-11,26.83201377,26.82943177,4.983268996,4.992309153
2019-05-12,26.87634683,26.89440886,5.133292238,5.134242733
2019-05-13,26.72488165,26.87887446,3.990787894,5.10656172
2019-05-14,26.50646154,27.30177053,3.743950963,7.890440722
2019-05-15,26.23971478,27.89089855,4.247487505,11.02670991
2019-05-16,26.56815298,28.66014695,3.727442811,11.26243909
2019-05-17,26.76171199,29.42355474,3.051584631,10.85729333
2019-05-18,27.45074821,27.81001417,4.946587781,5.98378243
2019-05-19,27.1572125,27.17163006,5.181272984,5.225244224
2019-05-20,27.67926669,27.52435509,4.7805082,4.881912251
2019-05-21,27.73177934,27.99533931,3.789241821,4.169129839
2019-05-22,27.71940891,27.73045111,4.464707375,4.46309949
2019-05-23,28.1746889,28.21262193,4.002230148,4.295500477
2019-05-24,28.90800865,28.93663184,3.795527031,3.935164859
2019-05-25,29.6173168,29.82029502,2.576615155,4.023000379
2019-05-26,30.35140268,29.51745947,2.80747364,6.343513966
2019-05-27,29.72975254,30.89106989,2.14047945,6.053359171
2019-05-28,29.44373711,29.36654242,2.450125108,2.581502815
2019-05-29,29.35673245,29.35608617,2.661969314,2.797873308
2019-05-30,29.40681712,29.42511972,2.969061385,2.967787991
2019-05-31,29.42393335,29.40310566,3.282639285,3.28239272
2019-06-01,29.75655699,29.56069231,3.313624203,3.400733223
2019-06-02,30.25904926,30.03422292,3.660509576,4.26234295
2019-06-03,30.89222646,30.4568193,4.019334733,5.069847137
2019-06-04,30.9464798,30.77760967,4.792325079,6.099108775
2019-06-05,30.57699148,30.57453616,5.346847991,5.446898977
2019-06-06,29.83148662,29.8604881,6.374339918,6.376758516
2019-06-07,28.96105019,28.97067928,6.862318257,6.859451393
2019-06-08,29.02332743,29.03405229,7.067602456,7.067256649
2019-06-09,29.42740472,29.20596385,6.499582032,6.76719898
2019-06-10,29.45918719,29.56132817,6.128261308,7.380528331
2019-06-11,29.42293739,29.9374454,8.791356802,13.42107169
2019-06-12,29.20869708,30.97827458,4.572195609,13.72317346
2019-06-13,29.03112213,30.55477627,5.89771982,12.59279293
2019-06-14,29.46168359,31.8460203,10.41443735,17.11798493
2019-06-15,29.70534285,29.90823325,11.08128226,12.42929065
2019-06-16,29.9440821,29.68141158,8.242525935,8.670419137
2019-06-17,29.99165853,30.02864345,9.058782935,9.284713626
2019-06-18,29.74491302,29.79650466,9.844712059,9.879848639
2019-06-19,29.3660078,29.36541057,10.20981729,10.21704245
2019-06-20,30.04615299,30.05587085,11.07512136,11.07493937
2019-06-21,30.42283972,30.45723796,11.28141419,11.39361711
2019-06-22,30.56342165,30.64602121,10.04682648,10.9949669
2019-06-23,30.74735673,30.88811032,8.628920436,8.884370367
2019-06-24,30.64545035,30.77484417,8.358462532,8.541108588
2019-06-25,30.82900492,30.86844087,7.892678897,8.753646413
2019-06-26,31.32179141,31.73070057,6.178740025,8.88928326
2019-06-27,31.43320711,31.64938021,7.363100886,12.00305458
2019-06-28,31.20918949,31.5040098,11.65645428,14.94828049
2019-06-29,30.16948231,32.11865131,8.791513642,15.38769877
2019-06-30,30.1659433,30.59285752,10.03750706,12.79428792
2019-07-01,30.383744,30.31720781,8.731875896,9.620888591
2019-07-02,30.43620443,30.38577414,9.101625721,9.126577338
2019-07-03,30.78164864,30.69660775,9.273053288,9.44779551
2019-07-04,31.40752244,31.58696914,9.194442789,11.37352137
2019-07-05,31.98940142,32.71324062,10.04029989,16.84716284
2019-07-06,32.51563263,33.50584332,10.19729988,16.99125218
2019-07-07,32.31672215,32.59940211,10.56290603,11.91333922
2019-07-08,32.29259292,33.5668757,10.44156285,13.50052365
2019-07-09,32.36321894,34.31334972,10.20734366,16.29986588
2019-07-10,32.98760382,34.77952719,11.57730309,18.6578091
2019-07-11,32.23187121,33.30567408,19.40141996,21.71511134
2019-07-12,30.41486216,30.43465114,20.67858354,20.68782306
2019-07-13,29.34448353,29.36546167,17.70281001,17.986751
2019-07-14,29.52434341,29.53824091,17.8184009,18.6010561
2019-07-15,29.88882081,29.85771624,18.22133541,18.65999381
2019-07-16,30.35137566,30.34085027,17.89149157,18.3069876
2019-07-17,30.76850367,30.73753007,14.0029633,15.74598368
2019-07-18,31.365019,31.57975968,11.44480944,13.92600516
2019-07-19,31.55524492,31.6874152,10.67767731,13.4023482
2019-07-20,31.3271172,32.37535596,10.82677547,14.98049339
2019-07-21,30.89101108,31.81215294,11.40715142,13.68451643
