"","Station","Lat","Lon","ID","Tsm","Ssm","Tbm","Sbm"
"1","MB6-H",30.436667,-87.928,1,23.7013684202314,8.89649004119429,24.0010131114457,10.3896398682057
"2","MB5-G",30.478283,-87.95511667,2,23.4441632738114,7.51726710804429,23.6313268512086,8.59640850968069
"3","MB3-F",30.587033,-87.9258,3,23.1723450147429,4.63868574808264,23.4785023553086,6.36798666953238
"4","MB2-D",30.6335,-87.9277,4,22.8431105930286,2.42100528355505,22.8924529761771,3.18232189224889
"5","MB1-A",30.669183,-88.03221667,5,21.4557439284686,1.12782628245886,21.2714581814514,22.3099544583426
"6","MB2-A",30.6335,-88.0324,6,21.7956961844,2.53484081164286,22.7269482777514,26.6534587884943
"7","MB3-B",30.587033,-88.0288,7,22.3475292227971,3.88912404698286,22.9022615003629,28.1231754630743
"8","MB3-D",30.587033,-87.98276667,8,22.8185672153171,3.92521214457608,23.1892011585143,7.84487712264181
"9","MB4-F",30.5316,-87.95613333,9,23.1633029180771,5.38227579069409,23.5358870936857,10.2878007474688
"10","MB4-C",30.5316,-88.0223,10,22.7024863720543,5.22752341464857,23.2908292143714,30.1776071623543
"11","MB4-A",30.52865,-88.04916667,11,22.9691267513314,5.33077567769429,22.9874612955257,7.59854451278571
"12","MB5-A",30.477,-88.0794,12,23.2890113536886,6.74432131381714,23.2296119921943,8.94214554804
"13","MB5-D",30.477,-88.0165,13,23.0352089206029,6.47155462792,22.2241945476571,32.1494740330743
"14","MB6-D",30.44025,-88.01198333,14,23.2456122413714,9.24263500373714,23.9206565140286,32.9620094961714
"15","MB6-A",30.449583,-88.08815,15,23.40167062572,7.52773931244286,23.4932761608629,9.07885965022286
"16","MB9-C",30.25181667,-88.03866667,16,24.0139074147143,14.9545800819743,24.133115481,32.8509240368
"17","MB9-E",30.2823,-87.9552,17,24.0083767693714,14.06367305536,24.3325673645714,24.5975744061057
"18","MB9-I",30.2823,-87.8293,18,24.1697066477429,13.8475558088771,24.3199833089714,16.3498219377257
"19","MB8-J",30.3298,-87.829,19,24.1359021212571,12.3439976243029,24.3455026646857,14.6488243738914
"20","MB7-I",30.3693,-87.9003,20,23.8249963262857,10.4372452131684,24.3135262473143,16.0326034742494
"21","MB7-G",30.3827,-87.95613333,21,23.6377152278857,9.19931458734245,24.0824483060257,16.5970757369854
"22","MB7-D",30.3827,-88.0195,22,23.5068754714743,8.88303470356,24.2909444554,33.7913464759143
"23","MB7-A",30.3827,-88.084,23,23.6229880857429,9.12372731633143,23.9691914713629,12.85196825456
"24","MB8-D",30.32866667,-88.02733333,24,23.7596988152857,11.2899108453229,24.2351414255429,33.5785268737714
"25","MB9-A",30.29091667,-88.12483333,25,23.8103574291429,12.7101031639629,23.8680746652286,17.0662699192343
"26","MS3-B",30.2922,-88.3148,26,23.7397307654286,20.3776838891886,23.5845245094,28.2142874960571
"27","MS3-A",30.35045,-88.3258,27,23.4808317232857,19.0806973188286,23.5100525524571,22.42032786232
"28","MS3-C",30.24991667,-88.28873333,28,23.7008057242286,20.8390289990886,23.6677025187429,27.3026904011143
